year,level_norm,city
2010,52.6,Fort Pulaski
2011,61.7,Fort Pulaski
2012,94.7,Fort Pulaski
2013,122.6,Fort Pulaski
2014,154.2,Fort Pulaski
year,level_norm,city
1984,0.0,Fremantle
1985,-30.7,Fremantle
1986,-72.7,Fremantle
1987,-110.5,Fremantle
1988,10.2,Fremantle
1989,13.7,Fremantle
1990,-66.5,Fremantle
1991,-70.5,Fremantle
1992,-67.7,Fremantle
1993,-118.9,Fremantle
1994,-81.0,Fremantle
1995,-20.9,Fremantle
1996,55.1,Fremantle
1997,-63.7,Fremantle
1998,-22.9,Fremantle
1999,109.3,Fremantle
2000,85.3,Fremantle
2001,12.6,Fremantle
2002,-51.3,Fremantle
2003,-25.2,Fremantle
2004,-23.7,Fremantle
2005,-6.1,Fremantle
2006,-13.6,Fremantle
2007,11.0,Fremantle
2008,91.2,Fremantle
2009,39.9,Fremantle
2010,31.4,Fremantle
2011,158.4,Fremantle
2012,128.3,Fremantle
2013,128.4,Fremantle
2014,57.0,Fremantle
year,level_norm,city
1984,0.0,Galveston (Pier 21)
1985,56.1,Galveston (Pier 21)
1986,69.5,Galveston (Pier 21)
1987,32.1,Galveston (Pier 21)
1988,17.0,Galveston (Pier 21)
1989,54.0,Galveston (Pier 21)
1990,115.7,Galveston (Pier 21)
1991,147.0,Galveston (Pier 21)
1992,112.6,Galveston (Pier 21)
1993,98.7,Galveston (Pier 21)
1994,115.9,Galveston (Pier 21)
1995,135.1,Galveston (Pier 21)
1996,65.4,Galveston (Pier 21)
1997,111.0,Galveston (Pier 21)
1998,157.5,Galveston (Pier 21)
1999,124.2,Galveston (Pier 21)
2000,90.7,Galveston (Pier 21)
2001,127.6,Galveston (Pier 21)
2002,168.3,Galveston (Pier 21)
2003,142.0,Galveston (Pier 21)
2004,155.5,Galveston (Pier 21)
2005,147.0,Galveston (Pier 21)
2006,78.2,Galveston (Pier 21)
2007,177.6,Galveston (Pier 21)
2008,162.4,Galveston (Pier 21)
2009,143.6,Galveston (Pier 21)
2010,192.0,Galveston (Pier 21)
2011,141.0,Galveston (Pier 21)
2012,206.1,Galveston (Pier 21)
2013,212.4,Galveston (Pier 21)
2014,194.1,Galveston (Pier 21)
year,level_norm,city
1984,0.0,Goteborg-Torshamnen (Gothenburg)
1985,4.9,Goteborg-Torshamnen (Gothenburg)
1986,16.9,Goteborg-Torshamnen (Gothenburg)
1987,-3.3,Goteborg-Torshamnen (Gothenburg)
1988,49.7,Goteborg-Torshamnen (Gothenburg)
1989,104.7,Goteborg-Torshamnen (Gothenburg)
1990,103.5,Goteborg-Torshamnen (Gothenburg)
1991,-3.3,Goteborg-Torshamnen (Gothenburg)
1992,22.6,Goteborg-Torshamnen (Gothenburg)
1993,-6.4,Goteborg-Torshamnen (Gothenburg)
1994,29.4,Goteborg-Torshamnen (Gothenburg)
